Time,Message
2017/03/16 18:49:28,"Next Order : 3, SO_ID=8608, SORT_Key=10, Station=01"
2017/03/16 18:49:28,"13, Normal Act Count Row : 57, 2, 0, 4, 4, prs_qty=2, door=6"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:29,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:30,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Check order again 1! 2, 8604"
2017/03/16 18:49:31,"Next Order : 3, SO_ID=8608, SORT_Key=10, Station=01"
2017/03/16 18:49:31,"Next Order : 279, SO_ID=9215, SORT_Key=11, Station=01"
2017/03/16 18:49:31,"Next Order : 8, SO_ID=8642, SORT_Key=7, Station=02"
2017/03/16 18:49:31,"Next Order : 16, SO_ID=8660, SORT_Key=3, Station=02"
2017/03/16 18:49:31,"Next Order : 20, SO_ID=8698, SORT_Key=2, Station=04"
2017/03/16 18:49:31,"Next Order : 28, SO_ID=8720, SORT_Key=3, Station=04"
2017/03/16 18:49:31,"Next Order : 34, SO_ID=8745, SORT_Key=8, Station=05"
2017/03/16 18:49:31,"Check order again 1! 57, 8830"
2017/03/16 18:49:31,"Next Order : 3, SO_ID=8608, SORT_Key=10, Station=01"
2017/03/16 18:49:31,"Next Order : 279, SO_ID=9215, SORT_Key=11, Station=01"
2017/03/16 18:49:31,"Next Order : 8, SO_ID=8642, SORT_Key=7, Station=02"
2017/03/16 18:49:31,"Next Order : 16, SO_ID=8660, SORT_Key=3, Station=02"
2017/03/16 18:49:31,"Next Order : 20, SO_ID=8698, SORT_Key=2, Station=04"
2017/03/16 18:49:31,"Next Order : 28, SO_ID=8720, SORT_Key=3, Station=04"
2017/03/16 18:49:31,"Next Order : 34, SO_ID=8745, SORT_Key=8, Station=05"
2017/03/16 18:49:31,"Check order again 1! 57, 8830"
2017/03/16 18:49:32,"Next Order : 3, SO_ID=8608, SORT_Key=10, Station=01"
2017/03/16 18:49:32,"Next Order : 279, SO_ID=9215, SORT_Key=11, Station=01"
2017/03/16 18:49:32,"Next Order : 8, SO_ID=8642, SORT_Key=7, Station=02"
2017/03/16 18:49:32,"Next Order : 16, SO_ID=8660, SORT_Key=3, Station=02"
2017/03/16 18:49:32,"Next Order : 20, SO_ID=8698, SORT_Key=2, Station=04"
2017/03/16 18:49:32,"Next Order : 28, SO_ID=8720, SORT_Key=3, Station=04"
2017/03/16 18:49:32,"Next Order : 34, SO_ID=8745, SORT_Key=8, Station=05"
2017/03/16 18:49:32,number of download order : 7
2017/03/16 18:49:33,"Download Order : 3, 0, IPI_MCA17_01_L, 8608, MS249037-1 9, IU002 WHITE"
2017/03/16 18:49:34,"Download Order : 279, 0, IPI_MCA17_01_R, 9215, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:49:35,"Download Order : 8, 0, IPI_MCA17_02_L, 8642, MS249037-1 12T, IU002 WHITE"
2017/03/16 18:49:36,"Download Order : 16, 0, IPI_MCA17_02_R, 8660, MS249037-1 14, IU002 WHITE"
2017/03/16 18:49:37,"Download Order : 20, 0, IPI_MCA17_04_L, 8698, MS249037-1 7T, IU002 WHITE"
2017/03/16 18:49:38,"Download Order : 28, 0, IPI_MCA17_04_R, 8720, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:49:39,"Download Order : 34, 1, IPI_MCA17_05_L, 8745, MS249037-1 9, IU002 WHITE"
2017/03/16 18:49:39,"14, Normal Act Count Row : 436, 9, 3, 9, 9, prs_qty=6, door=7"
2017/03/16 18:49:39,"Next Order : 437, SO_ID=9421, SORT_Key=2, Station=08"
2017/03/16 18:49:39,"15, Normal Act Count Row : 449, 8, 6, 9, 9, prs_qty=2, door=7"
2017/03/16 18:49:39,GetActual error : Variant or safe array index out of bounds
2017/03/16 18:49:39,door close : 0
2017/03/16 18:49:39,door close : 1
2017/03/16 18:49:39,door close : 2
2017/03/16 18:49:39,door close : 3
2017/03/16 18:49:39,door close : 4
2017/03/16 18:49:39,door close : 5
2017/03/16 18:49:39,door close : 6
2017/03/16 18:49:39,door close : 7
2017/03/16 18:49:40,"9, Normal Act Count Row : 37, 2, 0, 3, 3, prs_qty=2, door=4"
2017/03/16 18:49:40,GetActual error : Variant or safe array index out of bounds
2017/03/16 18:49:40,"10, Normal Act Count Row : 43, 2, 0, 3, 3, prs_qty=2, door=5"
2017/03/16 18:49:40,GetActual error : Variant or safe array index out of bounds
2017/03/16 18:49:41,"0, Normal Act Count Row : 3, 2, 0, 9, 9, prs_qty=2, door=0"
2017/03/16 18:49:41,"Check order again 1! 3, 8608"
2017/03/16 18:49:41,"Check order again 1! 3, 8608"
2017/03/16 18:49:41,"Check order again 1! 3, 8608"
2017/03/16 18:49:41,"Check order again 1! 3, 8608"
2017/03/16 18:49:41,"Check order again 1! 3, 8608"
2017/03/16 18:49:41,"Check order again 1! 3, 8608"
2017/03/16 18:49:41,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:42,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:43,"Check order again 1! 3, 8608"
2017/03/16 18:49:44,"Next Order : 324, SO_ID=9272, SORT_Key=4, Station=03"
2017/03/16 18:49:44,"Next Order : 35, SO_ID=8747, SORT_Key=9, Station=05"
2017/03/16 18:49:44,"Next Order : 38, SO_ID=8765, SORT_Key=9, Station=05"
2017/03/16 18:49:44,"Next Order : 44, SO_ID=8774, SORT_Key=3, Station=06"
2017/03/16 18:49:44,"Next Order : 53, SO_ID=8796, SORT_Key=5, Station=06"
2017/03/16 18:49:44,"Next Order : 421, SO_ID=9401, SORT_Key=3, Station=07"
2017/03/16 18:49:44,number of download order : 6
2017/03/16 18:49:45,"Download Order : 324, 0, IPI_MCA17_03_R, 9272, MS249037-1 12, IU002 WHITE"
2017/03/16 18:49:46,"Download Order : 35, 1, IPI_MCA17_05_L, 8747, MS249037-1 9, IU002 WHITE"
2017/03/16 18:49:47,"Download Order : 38, 1, IPI_MCA17_05_R, 8765, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:49:48,"Download Order : 44, 1, IPI_MCA17_06_L, 8774, MS249037-1 10, IU002 WHITE"
2017/03/16 18:49:49,"Download Order : 53, 1, IPI_MCA17_06_R, 8796, MS249037-1 9T, IU002 WHITE"
